Topic,Top Keywords,Description
134,"blood, china, quarantine, debt, virus, self, cara, dora, corruption, bible",Error: name 'openai' is not defined
135,"climate, culture, cultural, art, celebrate, ludwig, society, injustice, ata, kang",Error: name 'openai' is not defined
136,"corruption, summit, flower, classification, geneva, higher, initiative, democracy, turning, unite",Error: name 'openai' is not defined
137,"shortage, commonwealth, circular, university, conference, resettlement, primary, open, subsidiary, data",Error: name 'openai' is not defined
138,"port, boundary, refinery, old, aged, pipeline, railway, oil, senile, energy",Error: name 'openai' is not defined
139,"extrajudicial, natural, local, resource, gold, succession, mining, enforced, exploit, sand",Error: name 'openai' is not defined
140,"kenneth, pending, judicial, extra, invasion, jambo, celebrate, locust, university, treasury",Error: name 'openai' is not defined
141,"pension, mediation, retire, rushing, clerical, scheme, medical, message, strike, cog",Error: name 'openai' is not defined
142,"traditional, cultural, knowledge, receivership, bank, dance, equipment, tourism, culture, property",Error: name 'openai' is not defined
143,"practice, doctor, title, parcel, facilitation, medicine, flight, dentistry, medical, referendum",Error: name 'openai' is not defined
144,"vocational, media, training, journalism, cohesion, illness, curriculum, deferred, allocation, mother",Error: name 'openai' is not defined
145,"ratification, thief, registrar, natural, merger, transaction, schedule, mob, works, exploitation",Error: name 'openai' is not defined
146,"enforcement, warehouse, produce, cancer, west, childhood, compliance, property, receipt, code",Error: name 'openai' is not defined
147,"diploma, hospital, tuberculosis, plain, teaching, district, referral, malaria, maiden, admission",Error: name 'openai' is not defined
148,"tea, kabaka, auction, grower, licensee, factory, scale, leaf, exceeding, registration",Error: name 'openai' is not defined
149,"impeachment, impeach, removal, gross, chicken, procedure, violation, convention, misconduct, cash",Error: name 'openai' is not defined
150,"suspension, kenneth, leasing, democracy, allocation, hero, equipment, shortfall, ford, subsection",Error: name 'openai' is not defined
151,"tana, downstream, impeachment, upstream, fertilizer, effects, nile, dam, flooding, blend",Error: name 'openai' is not defined
152,"sectional, property, corporation, disaster, interior, replace, shah, unit, grass, emergency",Error: name 'openai' is not defined
153,"pesa, asset, disposal, emergency, sharable, memorandum, conditional, memoranda, allocation, leo",Error: name 'openai' is not defined
154,"equalization, serjeant, dental, arms, teeth, appropriation, tabitha, kindly, traffic, optical",Error: name 'openai' is not defined
155,"covid, boundary, pandemic, rais, dispute, kiswahili, thematic, labour, mambo, ferry",Error: name 'openai' is not defined
156,"stadium, initiative, popular, sports, stadia, percent, pesa, increase, viti, kazi",Error: name 'openai' is not defined
157,"rais, recruitment, recess, covenant, stick, walking, launch, violence, presidential, removal",Error: name 'openai' is not defined
158,"sports, athletics, gold, era, separation, judiciary, medal, injunction, bronze, volleyball",Error: name 'openai' is not defined
159,"card, register, identification, registration, heritage, issuance, birth, born, voter, identity",Error: name 'openai' is not defined
160,"kiswahili, language, hearing, cancer, sign, audit, film, disability, learn, corruption",Error: name 'openai' is not defined
161,"boy, strike, soul, brother, departed, wake, eternal, god, yale, industrial",Error: name 'openai' is not defined
162,"reproductive, medical, border, egg, surrogacy, phase, sudan, holiday, hospital, allottee",Error: name 'openai' is not defined
163,"certificate, attorney, urban, headquarters, football, examination, release, cape, withheld, head",Error: name 'openai' is not defined
164,"military, compensation, wildlife, speech, initiative, unfortunate, trillion, anthrax, handshake, visiting",Error: name 'openai' is not defined
165,"registrar, moi, democratic, cowboy, democracy, release, reserve, ideology, funded, stifle",Error: name 'openai' is not defined
166,"harmless, treasury, allocation, function, weighbridge, costing, referral, shareable, criteria, jubilee",Error: name 'openai' is not defined
167,"mung, bean, maritime, crop, shipping, askari, director, mining, agriculture, feeding",Error: name 'openai' is not defined
168,"oversight, judiciary, monica, visitor, king, mediation, defend, exceptional, david, reduction",Error: name 'openai' is not defined
169,"disability, abridged, produce, roosevelt, popular, amend, initiative, ombudsman, correct, error",Error: name 'openai' is not defined
170,"debt, ceiling, borrowing, trillion, borrow, forum, sugar, annual, economy, performance",Error: name 'openai' is not defined
171,"kra, macadamia, clinical, supreme, tabitha, celebrate, wildlife, chimera, beth, kindly",Error: name 'openai' is not defined
172,"lucy, university, reproductive, mediation, abortion, lady, reproduction, cid, vice, gracious",Error: name 'openai' is not defined
173,"joe, meat, collection, stadium, football, mall, wage, hero, kiswahili, audit",Error: name 'openai' is not defined
174,"warehouse, riparian, receipts, town, farmer, urban, fire, receipt, council, produce",Error: name 'openai' is not defined
175,"debt, trillion, ceiling, cue, additional, university, sewer, disbursement, dam, allocation",Error: name 'openai' is not defined
176,"waste, nominee, hilary, clean, nema, inspector, hillary, environment, extrajudicial, corruption",Error: name 'openai' is not defined
177,"pandemic, covid, stigma, subsection, emergency, thematic, patient, paragraph, quarantine, borrower",Error: name 'openai' is not defined
178,"chess, migrant, labour, migration, curricular, kingdom, fertilizer, labor, distress, embassy",Error: name 'openai' is not defined
179,"administrative, college, firearm, administrator, armed, teller, gun, nil, audit, billow",Error: name 'openai' is not defined
180,"debt, private, treasury, borrowing, project, partnership, trillion, sector, draft, levy",Error: name 'openai' is not defined
181,"waste, mining, medical, telecommunication, ranch, medicine, solid, hospital, paragraph, participation",Error: name 'openai' is not defined
182,"vaccine, rais, roll, covid, judiciary, speech, audit, vile, jambo, hustler",Error: name 'openai' is not defined
183,"university, delegation, quality, local, college, voting, remuneration, salary, delaware, established",Error: name 'openai' is not defined
184,"boarding, gen, terrorism, metropolitan, crime, arid, pastoralist, force, assassination, cleric",Error: name 'openai' is not defined
185,"bodyguard, withdrawal, teller, answer, nil, voting, returned, yesterday, announce, detail",Error: name 'openai' is not defined
186,"oversight, preposterous, parliamentary, demonstrate, answer, response, distinguished, evaluation, partisan, recruit",Error: name 'openai' is not defined
187,"gender, albinism, farmer, woman, factory, men, fertilizer, equality, mila, subsidy",Error: name 'openai' is not defined
188,"reproductive, shah, equalization, agriculture, labor, covid, reopen, hospital, consent, violence",Error: name 'openai' is not defined
189,"administration, applause, covid, parliamentary, acceleration, excellency, eight, port, approximately, dignity",Error: name 'openai' is not defined
190,"disaster, malaria, fire, risk, riparian, tragedy, irrigation, preparedness, mitigation, non",Error: name 'openai' is not defined
191,"dam, hospital, gorge, doctor, medical, project, district, phases, electricity, patient",Error: name 'openai' is not defined
192,"drone, open, data, diplomacy, boundary, photography, governance, delegation, summit, technology",Error: name 'openai' is not defined
193,"historical, samburu, clan, pending, corruption, search, british, colonial, ordinance, warrant",Error: name 'openai' is not defined
194,"evidence, impeachment, threshold, plenary, witness, documentation, quasi, whereas, preliminary, oppose",Error: name 'openai' is not defined
195,"degree, censure, qualification, fuel, disaster, university, agriculture, petroleum, energy, levy",Error: name 'openai' is not defined
196,"historical, island, injustice, ugandan, coast, suspension, landless, title, contractor, deed",Error: name 'openai' is not defined
197,"impeachment, evidence, advocate, removal, mike, kabaka, fifth, adopted, anne, opening",Error: name 'openai' is not defined
198,"residence, capping, aged, headquarters, ata, kang, clinical, supreme, writing, street",Error: name 'openai' is not defined
199,"neurological, parking, airport, statistics, child, submerged, maintenance, drainage, immediately, rev",Error: name 'openai' is not defined
200,"memorandum, reservation, registrar, threshold, presidential, conscience, mediation, representation, ruling, purgatory",Error: name 'openai' is not defined
201,"livestock, disease, veterinary, pastoralist, free, arid, meat, slaughter, industry, animal",Error: name 'openai' is not defined
202,"consent, gender, transplant, equality, appointive, kidney, woman, interdiction, elective, menstrual",Error: name 'openai' is not defined
203,"dressed, judiciary, session, dress, shawl, wear, team, regalia, deepen, membership",Error: name 'openai' is not defined
204,"debt, zimbabwe, sudan, juba, south, trillion, borrowing, agnes, crash, deficit",Error: name 'openai' is not defined
205,"director, metric, edible, chute, mung, pap, rice, registry, oil, trade",Error: name 'openai' is not defined
206,"radio, content, local, popular, ballot, engineering, oil, moi, extractive, statutory",Error: name 'openai' is not defined
207,"formula, military, keeping, personnel, population, boy, factor, poverty, parameter, sierra",Error: name 'openai' is not defined
208,"ziara, rais, cha, sisi, joint, sasa, arusha, excellency, applause, bara",Error: name 'openai' is not defined
209,"street, sickle, cell, teri, colostomy, disease, ranch, colon, cancer, streets",Error: name 'openai' is not defined
210,"drug, alcohol, abuse, menace, illicit, disaster, vip, declare, procession, circular",Error: name 'openai' is not defined
211,"presidential, speech, class, upper, youth, technology, sector, digital, economy, invitation",Error: name 'openai' is not defined
212,"pesa, mrs, formula, allocation, wilfred, reproductive, parliamentary, emma, liza, beja",Error: name 'openai' is not defined
213,"reproduction, paragraph, alcoholic, provider, alcohol, liberation, reproductive, therefor, woman, subclause",Error: name 'openai' is not defined
214,"village, flag, culture, token, oil, transfer, local, transferred, rural, barabara",Error: name 'openai' is not defined
215,"street, vending, stay, impeachment, ruling, injunct, ama, injunction, barabara, bound",Error: name 'openai' is not defined
216,"charm, engineering, command, attack, offensive, nil, gen, army, billow, intelligence",Error: name 'openai' is not defined
217,"advisory, lower, forum, supreme, opinion, draft, logging, billow, mail, disaster",Error: name 'openai' is not defined
218,"mediation, climate, gum, blue, forest, sewerage, accreditation, grain, dual, substituting",Error: name 'openai' is not defined
219,"substituting, therefor, mediation, paragraph, accreditation, sub, concurrence, resource, grant, conditional",Error: name 'openai' is not defined
220,"conference, lucid, tunnel, collector, apologize, wildlife, transferred, conservation, fish, withdraw",Error: name 'openai' is not defined
221,"hub, pride, carrier, hedging, company, ethiopian, prevention, control, infected, aviation",Error: name 'openai' is not defined
222,"local, absorbed, transition, defunct, answer, agent, failure, hospital, welfare, employed",Error: name 'openai' is not defined
223,"pregnant, maritime, pan, replace, baby, pap, equalization, birth, african, strike",Error: name 'openai' is not defined
224,"waste, doctor, medical, clean, hospital, dumping, solid, dump, garbage, geothermal",Error: name 'openai' is not defined
225,"landlord, tenant, rent, tenancy, group, tribunal, irrigation, residential, agreement, scrap",Error: name 'openai' is not defined
226,"variant, route, corridor, resort, mediation, drone, appropriation, independent, kiswahili, indian",Error: name 'openai' is not defined
227,"covid, teller, pandemic, nil, allocation, roll, village, additional, environment, extension",Error: name 'openai' is not defined
228,"coup, detention, history, martin, kenneth, injustice, kang, formula, ata, mau",Error: name 'openai' is not defined
229,"fame, memorandum, hall, joint, asset, presidential, disposal, history, recognition, upper",Error: name 'openai' is not defined
230,"mike, counsel, benson, wilfred, impeachment, page, document, evidence, clip, threshold",Error: name 'openai' is not defined
231,"plan, key, measurable, vision, agenda, strategic, formulate, medical, evaluation, council",Error: name 'openai' is not defined
232,"geothermal, energy, coal, drilling, exploration, oil, hydro, electricity, steam, production",Error: name 'openai' is not defined
233,"boundary, kang, ata, withdrawn, alteration, absent, hereby, park, answer, luo",Error: name 'openai' is not defined
234,"alcohol, drug, skew, abuse, disaster, unclaimed, retirement, skewed, infrastructure, retire",Error: name 'openai' is not defined
235,"ferry, menstrual, sim, island, east, arusha, hygiene, transport, eye, company",Error: name 'openai' is not defined
236,"anthem, flag, content, project, receiver, local, manager, symbol, plenty, pride",Error: name 'openai' is not defined
237,"sarah, evaluate, commissioner, earning, allowance, evaluation, remuneration, jina, tume, salary",Error: name 'openai' is not defined
238,"dissolution, bank, nominee, resident, imperial, currency, conflict, convinced, industrial, nil",Error: name 'openai' is not defined
239,"judiciary, delimitation, injunction, initiative, popular, unconstitutional, tea, improper, gender, amends",Error: name 'openai' is not defined
240,"applause, unity, excellency, prosperity, turning, parliamentary, administration, justin, remains, kenneth",Error: name 'openai' is not defined
241,"mining, rally, mineral, cord, teacher, carnal, substantiate, media, coal, saba",Error: name 'openai' is not defined
242,"sanitary, menstrual, vat, polytechnics, teacher, zero, classroom, secondary, afford, primary",Error: name 'openai' is not defined
243,"coastal, complementary, beer, disability, coast, discrimination, nancy, basic, child, english",Error: name 'openai' is not defined
244,"diaspora, abroad, vocational, training, succession, living, technical, washington, citizenship, labour",Error: name 'openai' is not defined
245,"child, pregnant, girl, teenage, pregnancy, cheating, examination, deployment, defiled, expectant",Error: name 'openai' is not defined
246,"suicide, nema, factory, sugar, saccos, closure, covid, succession, company, environment",Error: name 'openai' is not defined
247,"electoral, audit, boundary, administrative, condemn, census, trust, officer, verifiable, body",Error: name 'openai' is not defined
248,"fishing, fish, nil, industry, island, message, lake, minister, demonstration, samburu",Error: name 'openai' is not defined
249,"youth, enterprise, graduate, credit, unemployment, cash, fish, marshal, valley, provider",Error: name 'openai' is not defined
250,"answer, polytechnics, allocation, copy, amount, billow, hospital, wildlife, parking, china",Error: name 'openai' is not defined
251,"renewable, energy, disbursement, petitioner, pesa, vat, solar, forest, cash, vaginal",Error: name 'openai' is not defined
252,"statutory, instrument, impeachment, david, oath, seat, kazi, woman, conservancy, scrutiny",Error: name 'openai' is not defined
253,"fertilizer, youth, clarification, distribution, shortage, training, calendar, discipline, scenario, retrospectively",Error: name 'openai' is not defined
254,"disease, covid, virus, spread, infected, panic, testing, pandemic, quarantine, drainage",Error: name 'openai' is not defined
255,"platform, forum, secret, engage, oversight, advisory, ransom, section, cane, interfere",Error: name 'openai' is not defined
256,"chief, justice, judiciary, willy, connected, supreme, dark, solar, precious, grid",Error: name 'openai' is not defined
257,"presidential, speech, class, upper, youth, technology, sector, digital, economy, film",Error: name 'openai' is not defined
258,"count, procurement, violation, gross, disposal, impeach, impeachment, miscellaneous, vehicle, accountable",Error: name 'openai' is not defined
259,"cannabis, copyright, petitioner, plot, investment, anthem, labour, trunk, classification, tonga",Error: name 'openai' is not defined
260,"refugee, identity, potatoes, citizenship, camp, somali, insecurity, card, bag, registered",Error: name 'openai' is not defined
261,"registrar, coalition, expulsion, kang, ata, nomination, ideology, register, indirect, definition",Error: name 'openai' is not defined
262,"textile, sugar, cane, clothes, industry, leather, china, company, sucrose, locally",Error: name 'openai' is not defined
263,"figure, administrator, commerce, boy, schedule, village, costing, nil, treasury, allocation",Error: name 'openai' is not defined
264,"municipality, speech, flower, judiciary, urban, east, remuneration, town, local, credit",Error: name 'openai' is not defined
265,"bank, child, primary, curriculum, treasury, billow, untrained, mobile, quality, age",Error: name 'openai' is not defined
266,"participation, feedback, mining, principle, participate, purchase, project, effective, gold, samson",Error: name 'openai' is not defined
267,"housing, payment, pesa, allocation, omar, vat, tax, chimera, prompt, treasury",Error: name 'openai' is not defined
